,Unnamed: 0,year,dur_stay,mode,purpose
244,244,2017,1-3  nights,Air,Miscellaneous
245,245,2017,4-7  nights,Air,Holiday
246,246,2017,4-7  nights,Air,Business
247,247,2017,4-7  nights,Air,VFR
248,248,2017,4-7  nights,Air,Miscellaneous
249,249,2017,8-14 nights,Air,Business
250,250,2017,8-14 nights,Air,VFR
251,251,2017,15+  nights,Air,Business
252,252,2017,1-3  nights,Air,Holiday
253,253,2017,1-3  nights,Air,VFR
254,254,2017,4-7  nights,Air,Holiday
255,255,2017,4-7  nights,Air,Business
256,256,2017,4-7  nights,Air,VFR
257,257,2017,1-3  nights,Air,Holiday
258,258,2017,1-3  nights,Air,Business
259,259,2017,1-3  nights,Air,VFR
260,260,2017,1-3  nights,Tunnel,Business
261,261,2017,4-7  nights,Air,Holiday
262,262,2017,4-7  nights,Air,Business
263,263,2017,4-7  nights,Air,VFR
264,264,2017,8-14 nights,Air,Study
265,265,2017,15+  nights,Air,Business
266,266,2017,15+  nights,Sea,Business
267,267,2017,1-3  nights,Air,Holiday
268,268,2017,1-3  nights,Air,Business
269,269,2017,1-3  nights,Air,VFR
270,270,2017,1-3  nights,Air,Miscellaneous
271,271,2017,1-3  nights,Sea,Business
272,272,2017,1-3  nights,Tunnel,Business
273,273,2017,4-7  nights,Air,Holiday
274,274,2017,4-7  nights,Air,Business
275,275,2017,4-7  nights,Air,VFR
276,276,2017,4-7  nights,Sea,Holiday
277,277,2017,4-7  nights,Sea,Business
278,278,2017,4-7  nights,Sea,VFR
279,279,2017,8-14 nights,Air,Holiday
280,280,2017,8-14 nights,Air,Business
281,281,2017,8-14 nights,Air,VFR
282,282,2017,8-14 nights,Tunnel,VFR
283,283,2017,15+  nights,Air,VFR
284,284,2017,15+  nights,Sea,VFR
285,285,2017,4-7  nights,Air,Business
286,286,2017,15+  nights,Air,VFR
287,287,2017,15+  nights,Tunnel,VFR
288,288,2017,1-3  nights,Air,Business
289,289,2017,1-3  nights,Air,VFR
290,290,2017,1-3  nights,Air,Miscellaneous
291,291,2017,1-3  nights,Tunnel,Holiday
292,292,2017,1-3  nights,Tunnel,Business
293,293,2017,4-7  nights,Air,VFR
294,294,2017,8-14 nights,Air,VFR
295,295,2017,1-3  nights,Air,Holiday
296,296,2017,1-3  nights,Air,Business
297,297,2017,1-3  nights,Air,VFR
298,298,2017,1-3  nights,Air,Miscellaneous
299,299,2017,1-3  nights,Sea,Holiday
300,300,2017,1-3  nights,Sea,Business
301,301,2017,1-3  nights,Tunnel,Business
302,302,2017,1-3  nights,Tunnel,VFR
303,303,2017,4-7  nights,Air,Holiday
304,304,2017,4-7  nights,Air,VFR
305,305,2017,4-7  nights,Sea,Business
306,306,2017,8-14 nights,Air,Holiday
307,307,2017,8-14 nights,Air,VFR
308,308,2017,8-14 nights,Sea,VFR
309,309,2017,8-14 nights,Tunnel,Holiday
310,310,2017,15+  nights,Air,Business
311,311,2017,15+  nights,Air,VFR
312,312,2017,15+  nights,Air,Study
313,313,2017,15+  nights,Sea,Holiday
314,314,2017,15+  nights,Sea,VFR
315,315,2017,15+  nights,Tunnel,Holiday
316,316,2017,1-3  nights,Air,Holiday
317,317,2017,1-3  nights,Air,Business
318,318,2017,1-3  nights,Air,Miscellaneous
319,319,2017,1-3  nights,Sea,Business
320,320,2017,4-7  nights,Air,Holiday
321,321,2017,4-7  nights,Air,Business
322,322,2017,8-14 nights,Air,VFR
323,323,2017,15+  nights,Air,Holiday
324,324,2017,15+  nights,Air,Business
