,year,Trip_Length_Days,Travel_Type,Reason_for_travel
372,2017,4-7  nights,Air,Holiday
373,2017,4-7  nights,Air,Business
374,2017,4-7  nights,Air,VFR
375,2017,4-7  nights,Air,Miscellaneous
376,2017,4-7  nights,Tunnel,Holiday
377,2017,4-7  nights,Tunnel,Business
378,2017,8-14 nights,Air,Holiday
379,2017,8-14 nights,Air,Business
380,2017,8-14 nights,Air,VFR
381,2017,8-14 nights,Air,Study
382,2017,8-14 nights,Air,Miscellaneous
383,2017,8-14 nights,Sea,Business
384,2017,15+  nights,Air,Holiday
385,2017,15+  nights,Air,Business
386,2017,15+  nights,Air,VFR
387,2017,15+  nights,Air,Study
388,2017,15+  nights,Air,Miscellaneous
389,2017,15+  nights,Sea,Study
390,2017,1-3  nights,Air,Holiday
391,2017,1-3  nights,Air,Business
392,2017,1-3  nights,Air,Miscellaneous
393,2017,1-3  nights,Sea,Business
394,2017,1-3  nights,Tunnel,Holiday
395,2017,4-7  nights,Air,Holiday
396,2017,4-7  nights,Air,Business
397,2017,4-7  nights,Air,VFR
398,2017,4-7  nights,Air,Miscellaneous
399,2017,4-7  nights,Sea,Holiday
400,2017,4-7  nights,Tunnel,Holiday
401,2017,4-7  nights,Tunnel,Business
402,2017,8-14 nights,Air,Holiday
403,2017,8-14 nights,Air,VFR
404,2017,15+  nights,Air,VFR
405,2017,1-3  nights,Air,Holiday
406,2017,1-3  nights,Air,VFR
407,2017,1-3  nights,Air,Miscellaneous
408,2017,1-3  nights,Tunnel,Holiday
409,2017,4-7  nights,Air,Holiday
410,2017,8-14 nights,Air,Holiday
411,2017,8-14 nights,Air,VFR
412,2017,1-3  nights,Air,Holiday
413,2017,1-3  nights,Air,Business
414,2017,1-3  nights,Air,VFR
415,2017,1-3  nights,Air,Miscellaneous
416,2017,1-3  nights,Sea,Holiday
417,2017,1-3  nights,Tunnel,Holiday
418,2017,4-7  nights,Air,Holiday
419,2017,4-7  nights,Air,Business
420,2017,4-7  nights,Air,VFR
421,2017,4-7  nights,Tunnel,Holiday
422,2017,8-14 nights,Air,Holiday
423,2017,8-14 nights,Air,VFR
424,2017,8-14 nights,Air,Study
425,2017,8-14 nights,Air,Miscellaneous
426,2017,8-14 nights,Sea,Miscellaneous
427,2017,15+  nights,Air,Holiday
428,2017,15+  nights,Air,Business
429,2017,15+  nights,Air,VFR
430,2017,1-3  nights,Air,Holiday
431,2017,1-3  nights,Air,VFR
432,2017,1-3  nights,Air,Miscellaneous
433,2017,1-3  nights,Sea,Holiday
434,2017,1-3  nights,Tunnel,Holiday
435,2017,1-3  nights,Tunnel,Business
436,2017,4-7  nights,Air,Holiday
437,2017,4-7  nights,Air,Business
438,2017,4-7  nights,Sea,Holiday
439,2017,4-7  nights,Tunnel,Holiday
440,2017,8-14 nights,Air,Holiday
441,2017,8-14 nights,Air,Business
442,2017,8-14 nights,Air,VFR
443,2017,8-14 nights,Sea,Holiday
444,2017,15+  nights,Air,Study
445,2017,1-3  nights,Air,Holiday
446,2017,1-3  nights,Air,Miscellaneous
447,2017,1-3  nights,Sea,Holiday
448,2017,4-7  nights,Air,Holiday
449,2017,8-14 nights,Sea,Holiday
450,2017,15+  nights,Air,VFR
451,2017,1-3  nights,Air,Holiday
452,2017,1-3  nights,Air,Business
453,2017,1-3  nights,Air,VFR
454,2017,1-3  nights,Air,Miscellaneous
455,2017,4-7  nights,Air,Holiday
456,2017,4-7  nights,Air,Business
457,2017,4-7  nights,Air,VFR
458,2017,4-7  nights,Sea,Business
459,2017,4-7  nights,Sea,VFR
460,2017,8-14 nights,Air,Holiday
461,2017,8-14 nights,Air,VFR
462,2017,15+  nights,Air,VFR
463,2017,15+  nights,Air,Study
464,2017,1-3  nights,Air,Holiday
465,2017,1-3  nights,Air,Business
466,2017,1-3  nights,Air,VFR
467,2017,1-3  nights,Air,Miscellaneous
468,2017,4-7  nights,Air,Holiday
469,2017,4-7  nights,Air,Business
470,2017,4-7  nights,Air,VFR
471,2017,4-7  nights,Tunnel,Holiday
472,2017,8-14 nights,Air,Holiday
473,2017,8-14 nights,Air,Business
474,2017,8-14 nights,Air,VFR
475,2017,8-14 nights,Air,Miscellaneous
476,2017,8-14 nights,Tunnel,Holiday
477,2017,15+  nights,Air,Holiday
478,2017,15+  nights,Air,VFR
479,2017,15+  nights,Air,Study
480,2017,1-3  nights,Air,Holiday
481,2017,1-3  nights,Air,VFR
482,2017,1-3  nights,Sea,Holiday
483,2017,1-3  nights,Tunnel,Holiday
484,2017,4-7  nights,Air,Holiday
485,2017,4-7  nights,Air,VFR
486,2017,4-7  nights,Tunnel,Miscellaneous
487,2017,8-14 nights,Air,Holiday
488,2017,8-14 nights,Air,Business
489,2017,8-14 nights,Air,VFR
490,2017,15+  nights,Air,VFR
491,2017,1-3  nights,Air,Holiday
492,2017,1-3  nights,Air,Business
493,2017,4-7  nights,Air,Business
494,2017,8-14 nights,Air,Holiday
495,2017,8-14 nights,Air,Business
496,2017,8-14 nights,Air,VFR
497,2017,15+  nights,Air,VFR
498,2017,15+  nights,Air,Miscellaneous
499,2017,1-3  nights,Air,Holiday
500,2017,1-3  nights,Air,Business
501,2017,1-3  nights,Air,VFR
502,2017,1-3  nights,Air,Miscellaneous
503,2017,4-7  nights,Air,Holiday
504,2017,4-7  nights,Air,Business
505,2017,4-7  nights,Air,VFR
506,2017,4-7  nights,Tunnel,Holiday
507,2017,8-14 nights,Air,Holiday
508,2017,8-14 nights,Air,VFR
509,2017,15+  nights,Air,VFR
510,2017,1-3  nights,Air,Holiday
511,2017,1-3  nights,Air,Business
512,2017,4-7  nights,Air,Holiday
513,2017,8-14 nights,Air,Holiday
514,2017,15+  nights,Air,Holiday
515,2017,15+  nights,Air,Business
516,2017,1-3  nights,Air,Holiday
517,2017,1-3  nights,Air,Business
518,2017,1-3  nights,Air,VFR
519,2017,1-3  nights,Air,Miscellaneous
520,2017,4-7  nights,Air,Holiday
521,2017,4-7  nights,Air,Business
522,2017,4-7  nights,Air,VFR
523,2017,4-7  nights,Tunnel,Holiday
524,2017,8-14 nights,Air,Holiday
525,2017,8-14 nights,Air,Business
526,2017,8-14 nights,Air,VFR
527,2017,15+  nights,Air,Holiday
528,2017,15+  nights,Air,VFR
529,2017,15+  nights,Air,Miscellaneous
530,2017,15+  nights,Tunnel,Holiday
531,2017,1-3  nights,Air,Holiday
532,2017,1-3  nights,Air,Business
533,2017,1-3  nights,Tunnel,Holiday
534,2017,4-7  nights,Air,Holiday
535,2017,8-14 nights,Air,Holiday
536,2017,8-14 nights,Air,Study
537,2017,15+  nights,Air,Holiday
538,2017,1-3  nights,Air,Holiday
539,2017,1-3  nights,Air,Business
540,2017,1-3  nights,Air,Miscellaneous
541,2017,1-3  nights,Sea,Holiday
542,2017,4-7  nights,Air,Holiday
543,2017,4-7  nights,Air,Business
544,2017,4-7  nights,Tunnel,Holiday
545,2017,8-14 nights,Air,Holiday
546,2017,8-14 nights,Air,Business
547,2017,8-14 nights,Air,VFR
548,2017,15+  nights,Air,Holiday
549,2017,15+  nights,Air,VFR
550,2017,15+  nights,Air,Miscellaneous
551,2017,1-3  nights,Air,Holiday
552,2017,1-3  nights,Air,Business
553,2017,1-3  nights,Air,Miscellaneous
554,2017,1-3  nights,Sea,Holiday
555,2017,1-3  nights,Tunnel,Holiday
556,2017,4-7  nights,Air,Holiday
